clean_name,year,total_spending,total_claims,manufacturer_count,first_generic_year,cost_per_claim,generic_imminent,monopoly_risk,revenue_share,risk_score
lamictal,2023,147252807.28,80131.0,1,,1837.650937589697,0,1.0,0.0008229108524019358,0.41645821704803876
auryxia,2023,144710583.14,114709.0,1,,1261.5451546086183,0,1.0,0.0008087038306636932,0.4161740766132739
colcrys,2023,140555222.02,514645.0,1,,273.1110221997688,0,1.0,0.0007854819184675142,0.4157096383693503
humalog kwikpen u200,2023,140213500.45,109155.0,1,,1284.535756034996,0,1.0,0.0007835722340706786,0.4156714446814136
hizentra,2023,137133169.14,19823.0,1,,6917.881710134691,0,1.0,0.0007663580422952207,0.41532716084590443
taltz autoinjector,2023,136886246.07,21306.0,1,,6424.774526893832,0,1.0,0.0007649781319372128,0.4152995626387443
apriso,2023,135753314.91,200293.0,1,,677.7736361730065,0,1.0,0.0007586468343286346,0.41517293668657274
rytary,2023,134335198.3,149019.0,1,,901.4635603513647,0,1.0,0.0007507218000294824,0.4150144360005897
tremfya,2023,133279568.95,11896.0,1,,11203.72973688635,0,1.0,0.0007448224975694811,0.41489644995138963
simponi,2023,132970086.59,21523.0,1,,6178.046117641593,0,1.0,0.0007430929794884662,0.41486185958976934
firazyr,2023,132945822.78,2505.0,1,,53072.18474251497,0,1.0,0.0007429573830747988,0.414859147661496
nexavar,2023,132869941.04,9684.0,1,,13720.563923998348,0,1.0,0.0007425333238768889,0.4148506664775378
actemra,2023,132676233.62,35738.0,1,,3712.4694616374727,0,1.0,0.0007414508050369888,0.4148290161007398
korlym,2023,132392600.66,4915.0,1,,26936.43960528993,0,1.0,0.0007398657443159455,0.41479731488631894
vyndaqel,2023,130157322.21,6212.0,1,,20952.563137475852,0,1.0,0.0007273740646758589,0.4145474812935172
humulin n,2023,130035663.76,473628.0,1,,274.55231481246886,0,1.0,0.0007266941858970385,0.4145338837179408
invega,2023,128024984.96,90125.0,1,,1420.52687889043,0,1.0,0.0007154576639197815,0.4143091532783957
soliris,2023,125206828.96,2968.0,1,,42185.589272237194,0,1.0,0.0006997086184584485,0.41399417236916897
oxervate,2023,124702139.12,7292.0,1,,17101.225880416896,0,1.0,0.0006968881985689772,0.41393776397137955
xtampza,2023,124439768.27,249130.0,1,,499.4973237667081,0,1.0,0.0006954219594947817,0.41390843918989567
erivedge,2023,122630829.62,10763.0,1,,11393.740557465391,0,1.0,0.0006853128466438209,0.41370625693287644
toujeo max solostar,2023,121937399.69,108534.0,1,,1123.4949388210146,0,1.0,0.0006814376674515337,0.4136287533490307
atrovent hfa,2023,121459647.3,250589.0,1,,484.6966439069552,0,1.0,0.0006787677854047733,0.4135753557080955
aimovig autoinjector,2023,119447008.26,169415.0,1,,705.0556813741405,0,1.0,0.0006675203087788471,0.41335040617557695
hetlioz,2023,118599729.47,6688.0,1,,17733.213138456937,0,1.0,0.0006627853572069209,0.41325570714413845
orenitram,2023,116061649.39,15568.0,1,,7455.141918679342,0,1.0,0.0006486014942254451,0.41297202988450893
saphris,2023,115380059.49,118424.0,1,,974.2962532088089,0,1.0,0.0006447924821192716,0.41289584964238546
gammaplex,2023,114134958.2,9832.0,1,,11608.518938161107,0,1.0,0.0006378343304696914,0.41275668660939385
viibryd,2023,111391307.21,318172.0,1,,350.09776853400047,0,1.0,0.000622501650457818,0.4124500330091564
veltassa,2023,110096660.07,125867.0,1,,874.7063175415319,0,1.0,0.0006152666156817995,0.41230533231363603
tymlos,2023,109796513.41,53449.0,1,,2054.229516174297,0,1.0,0.000613589269433612,0.41227178538867226
jentadueto,2023,108604794.65,166278.0,1,,653.1519181731799,0,1.0,0.0006069294418980308,0.4121385888379606
humulin r u500,2023,107737315.9,51637.0,1,,2086.4363905726514,0,1.0,0.0006020816044218619,0.41204163208843725
serostim,2023,107140506.97,7105.0,1,,15079.59281773399,0,1.0,0.0005987463841678023,0.4119749276833561
carafate,2023,105294398.81,304903.0,1,,345.3373656867922,0,1.0,0.0005884295524032095,0.41176859104806424
tracleer,2023,105055400.25,8891.0,1,,11815.92624564166,0,1.0,0.0005870939275525507,0.41174187855105104
calquence,2023,103935941.42,7579.0,1,,13713.674814619344,0,1.0,0.0005808379190115897,0.4116167583802318
banzel,2023,103728571.79,30159.0,1,,3439.390291123711,0,1.0,0.0005796790499744711,0.41159358099948945
aptiom,2023,103185870.14,82695.0,1,,1247.7885016022735,0,1.0,0.0005766462040433763,0.41153292408086756
keppra,2023,103166733.17,76439.0,1,,1349.6609475529508,0,1.0,0.0005765392585760132,0.4115307851715203
ampyra,2023,102231983.19,30022.0,1,,3405.2356002265005,0,1.0,0.0005713154810668902,0.4114263096213378
strensiq,2023,101640697.97,1001.0,1,,101539.15881118881,0,1.0,0.0005680111296362403,0.4113602225927248
stivarga,2023,101565258.31,6838.0,1,,14853.064976601347,0,1.0,0.0005675895409680021,0.4113517908193601
humalog mix 7525,2023,101067295.04,122384.0,1,,825.8211452477449,0,1.0,0.0005648067119914289,0.4112961342398286
elmiron,2023,99270006.74,91313.0,1,,1087.1399115131471,0,1.0,0.0005547627062146649,0.4110952541242933
remicade,2023,98661230.31,15160.0,1,,6507.996722295515,0,1.0,0.0005513606065183181,0.41102721213036636
cosentyx sensoready pen,2023,98346327.07,12789.0,1,,7689.915323324732,0,1.0,0.0005496007942713448,0.41099201588542694
apokyn,2023,97842530.32,4423.0,1,,22121.304616775942,0,1.0,0.0005467853653458269,0.4109357073069166
vemlidy,2023,96643623.43,76922.0,1,,1256.3846939757157,0,1.0,0.0005400853675052123,0.4108017073501043
bosulif,2023,95818504.08,7925.0,1,,12090.662975394322,0,1.0,0.0005354742522389971,0.41070948504477994
suprep,2023,94704109.87,947479.0,1,,99.95378247961169,0,1.0,0.0005292465469327131,0.4105849309386543
belsomra,2023,94315285.91,243885.0,1,,386.72032273407547,0,1.0,0.0005270736344954684,0.41054147268990937
mekinist,2023,94071924.3,8610.0,1,,10925.891324041811,0,1.0,0.0005257136270794726,0.41051427254158945
synjardy,2023,93689902.19,125768.0,1,,744.9422920774759,0,1.0,0.0005235787262515467,0.41047157452503097
humulin 7030 kwikpen,2023,93660208.79,123958.0,1,,755.5801867568048,0,1.0,0.000523412786996764,0.4104682557399353
kisqali,2023,91963508.3,7989.0,1,,11511.266528977343,0,1.0,0.000513930908367165,0.41027861816734335
neupro,2023,91619624.54,104799.0,1,,874.2414005858835,0,1.0,0.0005120091407398037,0.4102401828147961
zejula,2023,91025007.69,7138.0,1,,12752.172553936676,0,1.0,0.0005086861707542086,0.4101737234150842
lonsurf,2023,90774138.81,8492.0,1,,10689.371032736693,0,1.0,0.0005072842095441288,0.4101456841908826
vosevi,2023,89602249.81,3545.0,1,,25275.669904090268,0,1.0,0.0005007351990789041,0.41001470398157813
gammaked,2023,86833965.04,7794.0,1,,11141.129720297666,0,1.0,0.00048526485510481395,0.4097052971020963
pentasa,2023,86385411.21,66319.0,1,,1302.5740920399885,0,1.0,0.0004827581469380108,0.40965516293876025
alecensa,2023,84214133.36,5957.0,1,,14137.004089306698,0,1.0,0.00047062412966968525,0.40941248259339375
lupron depot,2023,83935223.55,21998.0,1,,3815.584305391399,0,1.0,0.00046906546390480146,0.4093813092780961
adcirca,2023,82750004.24,18904.0,1,,4377.380672873465,0,1.0,0.00046244195803967555,0.4092488391607935
tafinlar,2023,82258390.13,8586.0,1,,9580.5252888423,0,1.0,0.00045969461084959,0.4091938922169918
vyvanse,2023,81808243.85,242208.0,1,,337.7602880581979,0,1.0,0.0004571790033999066,0.40914358006799817
soliqua 10033,2023,80359312.35,98959.0,1,,812.0465278549702,0,1.0,0.00044908176248639525,0.4089816352497279
intelence,2023,80134280.11,54149.0,1,,1479.88476444625,0,1.0,0.00044782418732802027,0.4089564837465604
noxafil,2023,78575527.44,13296.0,1,,5909.711750902527,0,1.0,0.0004391132193536412,0.4087822643870728
iclusig,2023,78355626.47,3197.0,1,,24509.11056302784,0,1.0,0.0004378843198982806,0.4087576863979656
rhopressa,2023,77837723.89,226566.0,1,,343.5543015721688,0,1.0,0.0004349900616397024,0.4086998012327941
arikayce,2023,76866248.87,7005.0,1,,10973.05479942898,0,1.0,0.0004295610491029481,0.40859122098205897
